               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12122,             0.04886,            0.027306,           0.0046885,             0.21744,            0.012462,           0.0027036,              0.1071,            0.041021,            0.020293,              0.0802,              0.0022,              0.0022
                   1,             0.10513,            0.057516,             0.01799,             0.15265,             0.14257,            0.063525,            0.017877,             0.10066,             0.03687,            0.012326,            0.059055,           0.0040545,           0.0040545
                   2,            0.098118,            0.045708,            0.012864,             0.25791,             0.37045,             0.17461,            0.059218,              0.0959,             0.03264,           0.0088143,            0.037454,           0.0054536,           0.0054536
                   3,            0.093397,            0.041486,            0.010589,             0.30695,             0.34372,             0.22971,            0.065851,            0.086872,            0.029549,           0.0072113,            0.015397,           0.0063973,           0.0063973
                   4,             0.08719,            0.041299,           0.0089118,             0.37928,             0.45288,             0.36002,             0.12376,            0.082902,            0.026443,           0.0063139,             0.00604,             0.00604,             0.00604
                   5,            0.082109,            0.039755,           0.0083995,             0.35348,             0.51156,             0.36507,             0.10878,            0.081927,             0.02559,           0.0059464,             0.00604,             0.00604,             0.00604
                   6,            0.075314,            0.036736,           0.0075291,               0.393,             0.57236,             0.42284,              0.1505,            0.076183,            0.026003,           0.0054136,             0.00505,             0.00505,             0.00505
                   7,            0.068753,            0.038537,           0.0066975,             0.57924,             0.67198,             0.64206,             0.24761,            0.065708,            0.026261,           0.0048542,             0.00406,             0.00406,             0.00406
                   8,            0.063219,            0.035182,           0.0066931,             0.68729,             0.69693,             0.73564,             0.32971,            0.053982,            0.025174,           0.0046716,             0.00307,             0.00307,             0.00307
                   9,            0.057947,            0.037385,           0.0063365,             0.72188,             0.70139,             0.76375,             0.33979,            0.051076,            0.025918,           0.0043768,             0.00208,             0.00208,             0.00208
